order_id,Customer ID,product_id,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Add-on Total
18,14449,10,2,Cancelled,Bank Transfer,3932.05,786.41,5,2024-09-23,Standard,"Impulse Item, Impulse Item, Impulse Item",201.03
19,4426,6,2,Completed,Cash,791.19,791.19,1,2024-09-23,Standard,"Accessory,Accessory,Accessory",86.37
20,18070,2,2,Cancelled,Bank Transfer,1348.64,674.32,2,2024-09-23,Same Day,,0.0
21,16863,8,3,Cancelled,PayPal,9117.44,1139.68,8,2024-09-23,Same Day,"Impulse Item, Impulse Item, Impulse Item",205.48
22,9479,7,3,Completed,Paypal,1855.84,463.96,4,2024-09-23,Standard,"Extended Warranty,Extended Warranty",51.32
23,4399,4,3,Completed,Debit Card,1729.21,247.03,7,2024-09-23,Standard,"Accessory,Accessory",76.21
24,18200,1,3,Cancelled,Credit Card,722.36,361.18,2,2024-09-23,Expedited,"Impulse Item, Impulse Item",141.66
25,3255,5,3,Cancelled,Cash,4224.15,844.83,5,2024-09-23,Overnight,"Accessory,Accessory,Extended Warranty",83.41
26,2164,7,3,Completed,Cash,4639.6,463.96,10,2024-09-23,Express,"Extended Warranty,Extended Warranty",69.07
27,19882,8,3,Completed,Bank Transfer,5698.4,1139.68,5,2024-09-23,Standard,,0.0
28,17974,8,3,Completed,PayPal,1139.68,1139.68,1,2024-09-23,Expedited,,0.0
29,11809,9,2,Cancelled,PayPal,2297.5,459.5,5,2024-09-23,Standard,"Extended Warranty, Extended Warranty, Impulse Item",166.87
30,11351,8,2,Completed,PayPal,2279.36,1139.68,2,2024-09-23,Same Day,Impulse Item,50.73
31,18352,8,5,Completed,PayPal,2279.36,1139.68,2,2024-09-23,Standard,"Extended Warranty, Accessory, Accessory",152.95
32,13636,8,1,Cancelled,PayPal,3419.04,1139.68,3,2024-09-23,Same Day,"Impulse Item, Extended Warranty",57.92
33,11827,1,5,Completed,PayPal,3250.62,361.18,9,2024-09-23,Expedited,"Impulse Item, Extended Warranty",109.57
34,17930,2,3,Cancelled,PayPal,4045.92,674.32,6,2024-09-23,Same Day,,0.0
35,1234,5,3,Completed,Debit Card,8448.3,844.83,10,2024-09-23,Overnight,Extended Warranty,24.63
36,14793,2,2,Cancelled,Bank Transfer,674.32,674.32,1,2024-09-23,Expedited,"Extended Warranty, Impulse Item",57.51
37,16885,8,1,Completed,Bank Transfer,6838.08,1139.68,6,2024-09-23,Expedited,Impulse Item,35.93
38,13932,2,3,Completed,PayPal,6743.2,674.32,10,2024-09-23,Same Day,"Impulse Item, Extended Warranty, Accessory",76.14
39,4902,6,2,Cancelled,Debit Card,1582.38,791.19,2,2024-09-23,Overnight,Impulse Item,40.38
40,2621,6,2,Cancelled,Paypal,4747.14,791.19,6,2024-09-23,Standard,,0.0
41,13934,1,2,Completed,Credit Card,361.18,361.18,1,2024-09-23,Same Day,"Accessory, Impulse Item, Extended Warranty",192.22
42,15385,8,5,Completed,Credit Card,7977.76,1139.68,7,2024-09-23,Same Day,"Impulse Item, Accessory",117.85
43,11631,9,3,Completed,Credit Card,1378.5,459.5,3,2024-09-23,Standard,Accessory,83.22
44,13413,9,2,Completed,Bank Transfer,1378.5,459.5,3,2024-09-23,Expedited,Extended Warranty,60.63
45,16731,2,3,Cancelled,Credit Card,2022.96,674.32,3,2024-09-23,Expedited,,0.0
46,9331,4,3,Cancelled,Paypal,988.12,247.03,4,2024-09-23,Overnight,,0.0
47,12883,8,5,Completed,PayPal,11396.8,1139.68,10,2024-09-23,Standard,"Extended Warranty, Accessory",78.92
48,19341,2,4,Completed,Credit Card,4720.24,674.32,7,2024-09-23,Standard,Accessory,47.75
49,6276,5,3,Cancelled,Paypal,7603.47,844.83,9,2024-09-23,Standard,"Extended Warranty,Impulse Item,Accessory",68.11
50,2671,4,3,Completed,Cash,2223.27,247.03,9,2024-09-23,Express,Accessory,24.14
51,5128,3,5,Completed,Cash,145.25,20.75,7,2024-09-23,Standard,"Impulse Item,Extended Warranty",66.22
52,5838,7,3,Cancelled,Debit Card,2319.8,463.96,5,2024-09-23,Standard,"Extended Warranty,Impulse Item",70.41
53,11209,8,3,Completed,Bank Transfer,7977.76,1139.68,7,2024-09-23,Same Day,,0.0
54,17128,2,4,Cancelled,Credit Card,5394.56,674.32,8,2024-09-23,Standard,"Impulse Item, Accessory",34.07
55,6964,4,3,Completed,Paypal,1482.18,247.03,6,2024-09-23,Express,Impulse Item,37.12
56,1038,6,2,Completed,Debit Card,5538.33,791.19,7,2024-09-23,Overnight,"Extended Warranty,Accessory",26.01
57,2082,3,5,Completed,Credit Card,145.25,20.75,7,2024-09-22,Express,,0.0
58,18014,8,5,Completed,Credit Card,4558.72,1139.68,4,2024-09-22,Expedited,"Extended Warranty, Impulse Item, Extended Warranty",118.76
59,18883,9,1,Cancelled,PayPal,2757.0,459.5,6,2024-09-22,Same Day,"Accessory, Impulse Item, Impulse Item",150.07
60,4335,7,3,Cancelled,Debit Card,4639.6,463.96,10,2024-09-22,Standard,,0.0
61,6574,7,3,Cancelled,Cash,1855.84,463.96,4,2024-09-22,Express,"Impulse Item,Accessory",36.78
62,11730,10,1,Completed,PayPal,3932.05,786.41,5,2024-09-22,Expedited,"Impulse Item, Impulse Item, Impulse Item",166.51
63,17311,8,2,Cancelled,PayPal,11396.8,1139.68,10,2024-09-22,Expedited,"Impulse Item, Accessory, Accessory",170.62
64,14815,9,2,Completed,PayPal,1838.0,459.5,4,2024-09-22,Standard,"Accessory, Impulse Item, Extended Warranty",140.95
65,17250,10,5,Cancelled,Bank Transfer,5504.87,786.41,7,2024-09-22,Expedited,,0.0
66,16990,2,5,Cancelled,PayPal,6743.2,674.32,10,2024-09-22,Standard,,0.0
67,2859,7,3,Completed,Cash,3711.68,463.96,8,2024-09-22,Standard,,0.0
68,19984,2,1,Completed,PayPal,674.32,674.32,1,2024-09-22,Expedited,"Extended Warranty, Accessory",135.71
69,9507,3,5,Completed,Cash,124.5,20.75,6,2024-09-22,Standard,,0.0
70,15491,9,5,Cancelled,PayPal,1378.5,459.5,3,2024-09-22,Expedited,"Extended Warranty, Extended Warranty, Accessory",107.98
71,18662,9,2,Cancelled,Bank Transfer,3676.0,459.5,8,2024-09-22,Expedited,Extended Warranty,93.61
72,7055,6,2,Cancelled,Paypal,2373.57,791.19,3,2024-09-22,Standard,,0.0
73,6557,4,3,Completed,Credit Card,1976.24,247.03,8,2024-09-22,Overnight,,0.0
74,3294,5,3,Cancelled,Cash,7603.47,844.83,9,2024-09-22,Overnight,"Extended Warranty,Accessory",72.43
75,6548,4,3,Completed,Credit Card,741.09,247.03,3,2024-09-22,Express,Impulse Item,34.18
76,8493,3,5,Completed,Paypal,62.25,20.75,3,2024-09-22,Express,"Accessory,Accessory,Accessory",51.16
77,7812,7,3,Completed,Debit Card,1391.88,463.96,3,2024-09-22,Overnight,"Extended Warranty,Accessory,Extended Warranty",74.34
78,18955,1,5,Cancelled,Credit Card,2528.26,361.18,7,2024-09-22,Expedited,"Extended Warranty, Accessory, Impulse Item",164.13
79,3704,4,3,Cancelled,Credit Card,494.06,247.03,2,2024-09-22,Standard,Accessory,20.69
80,12532,10,4,Completed,Credit Card,3145.64,786.41,4,2024-09-22,Expedited,"Impulse Item, Accessory, Impulse Item",99.58
81,8917,3,5,Completed,Paypal,186.75,20.75,9,2024-09-22,Standard,"Extended Warranty,Extended Warranty",55.43
82,9202,6,2,Completed,Credit Card,4747.14,791.19,6,2024-09-22,Express,,0.0
83,11578,2,5,Completed,Credit Card,6068.88,674.32,9,2024-09-22,Expedited,,0.0
84,6678,3,5,Completed,Cash,103.75,20.75,5,2024-09-22,Overnight,"Impulse Item,Impulse Item",62.91
85,3001,4,3,Cancelled,Debit Card,1729.21,247.03,7,2024-09-22,Standard,,0.0
86,4048,6,2,Cancelled,Credit Card,3164.76,791.19,4,2024-09-22,Overnight,,0.0
87,4679,7,3,Cancelled,Credit Card,4639.6,463.96,10,2024-09-22,Standard,"Impulse Item,Accessory",56.38
88,7766,4,3,Completed,Cash,741.09,247.03,3,2024-09-22,Standard,,0.0
89,3593,4,3,Completed,Paypal,1482.18,247.03,6,2024-09-22,Standard,Extended Warranty,34.27
90,6281,6,2,Cancelled,Credit Card,5538.33,791.19,7,2024-09-22,Standard,,0.0
91,1375,7,3,Completed,Cash,2783.76,463.96,6,2024-09-22,Express,"Extended Warranty,Extended Warranty,Extended Warranty",84.06
92,6139,6,2,Completed,Cash,7120.71,791.19,9,2024-09-22,Express,"Impulse Item,Impulse Item,Extended Warranty",101.11
93,12441,9,5,Cancelled,PayPal,2297.5,459.5,5,2024-09-22,Expedited,"Accessory, Extended Warranty, Extended Warranty",257.54
94,12550,8,3,Completed,Credit Card,2279.36,1139.68,2,2024-09-22,Expedited,"Extended Warranty, Accessory",133.96
95,1673,5,3,Cancelled,Credit Card,2534.49,844.83,3,2024-09-22,Express,"Accessory,Accessory",63.66
96,6071,4,3,Completed,Debit Card,2223.27,247.03,9,2024-09-22,Express,"Impulse Item,Extended Warranty",54.34
97,12109,1,5,Completed,PayPal,3611.8,361.18,10,2024-09-22,Standard,,0.0
98,15245,1,5,Cancelled,Bank Transfer,2167.08,361.18,6,2024-09-22,Standard,Impulse Item,18.8
99,13435,9,4,Completed,Bank Transfer,919.0,459.5,2,2024-09-22,Same Day,,0.0
100,2486,4,3,Completed,Credit Card,1482.18,247.03,6,2024-09-22,Overnight,"Accessory,Extended Warranty",76.95
101,18690,2,5,Cancelled,Credit Card,4045.92,674.32,6,2024-09-22,Same Day,"Impulse Item, Extended Warranty",89.01
102,16513,8,4,Cancelled,PayPal,5698.4,1139.68,5,2024-09-22,Same Day,"Accessory, Impulse Item",94.8
103,15345,10,3,Completed,Credit Card,4718.46,786.41,6,2024-09-22,Standard,,0.0
104,18871,1,1,Completed,Bank Transfer,1805.9,361.18,5,2024-09-22,Expedited,"Accessory, Extended Warranty",31.88
105,4436,5,3,Completed,Credit Card,5913.81,844.83,7,2024-09-22,Express,,0.0
106,17729,1,3,Completed,Bank Transfer,2889.44,361.18,8,2024-09-22,Standard,"Accessory, Impulse Item",143.36
107,2460,3,5,Cancelled,Cash,83.0,20.75,4,2024-09-22,Standard,"Accessory,Impulse Item,Accessory",61.85
108,6231,3,5,Completed,Paypal,41.5,20.75,2,2024-09-22,Express,,0.0
109,17192,1,1,Completed,Credit Card,3611.8,361.18,10,2024-09-22,Expedited,Impulse Item,15.89
110,19182,1,2,Completed,Bank Transfer,3611.8,361.18,10,2024-09-22,Standard,"Impulse Item, Impulse Item",111.09
111,3420,5,3,Cancelled,Cash,5068.98,844.83,6,2024-09-22,Standard,"Impulse Item,Extended Warranty",59.25
112,3165,7,3,Completed,Credit Card,1855.84,463.96,4,2024-09-22,Standard,"Accessory,Accessory,Extended Warranty",87.43
113,14021,10,5,Completed,Credit Card,5504.87,786.41,7,2024-09-22,Expedited,"Impulse Item, Extended Warranty",90.8
114,4391,4,3,Cancelled,Cash,1729.21,247.03,7,2024-09-22,Express,"Impulse Item,Impulse Item,Impulse Item",41.64
115,17701,8,4,Completed,Bank Transfer,6838.08,1139.68,6,2024-09-22,Expedited,"Accessory, Impulse Item",111.41
116,5070,3,5,Completed,Credit Card,20.75,20.75,1,2024-09-22,Express,"Impulse Item,Impulse Item",30.27
117,15480,8,1,Completed,PayPal,1139.68,1139.68,1,2024-09-22,Same Day,"Impulse Item, Accessory",146.56
118,12134,2,5,Completed,PayPal,2022.96,674.32,3,2024-09-22,Expedited,"Impulse Item, Extended Warranty",138.91
119,19339,1,5,Completed,PayPal,2167.08,361.18,6,2024-09-22,Expedited,,0.0
120,7440,6,2,Cancelled,Paypal,791.19,791.19,1,2024-09-22,Express,,0.0
121,14289,1,1,Cancelled,Credit Card,1083.54,361.18,3,2024-09-22,Expedited,Accessory,29.37
122,15125,8,5,Completed,Bank Transfer,5698.4,1139.68,5,2024-09-22,Standard,Impulse Item,49.06
123,12700,1,2,Cancelled,PayPal,1444.72,361.18,4,2024-09-22,Standard,"Accessory, Impulse Item, Accessory",180.98
124,19969,1,3,Completed,Bank Transfer,2528.26,361.18,7,2024-09-22,Standard,Extended Warranty,23.96
125,14521,2,3,Cancelled,Credit Card,6068.88,674.32,9,2024-09-22,Same Day,"Impulse Item, Impulse Item",119.4
126,15941,1,5,Completed,Credit Card,361.18,361.18,1,2024-09-21,Standard,"Accessory, Extended Warranty, Extended Warranty",166.01
127,16911,9,5,Completed,Bank Transfer,1378.5,459.5,3,2024-09-21,Same Day,"Accessory, Extended Warranty",107.03
128,6397,4,3,Completed,Paypal,2223.27,247.03,9,2024-09-21,Overnight,,0.0
129,5828,6,2,Completed,Paypal,5538.33,791.19,7,2024-09-21,Express,,0.0
130,4442,3,5,Completed,Paypal,62.25,20.75,3,2024-09-21,Standard,Accessory,43.25
131,19772,8,5,Completed,PayPal,5698.4,1139.68,5,2024-09-21,Same Day,"Accessory, Extended Warranty",74.88
132,1698,4,3,Completed,Paypal,247.03,247.03,1,2024-09-21,Overnight,Extended Warranty,16.73
133,14633,9,4,Completed,PayPal,919.0,459.5,2,2024-09-21,Standard,,0.0
134,9100,7,3,Completed,Credit Card,1391.88,463.96,3,2024-09-21,Standard,,0.0
135,15394,8,3,Cancelled,Credit Card,9117.44,1139.68,8,2024-09-21,Expedited,,0.0
136,2587,3,5,Completed,Debit Card,83.0,20.75,4,2024-09-21,Overnight,"Impulse Item,Accessory,Accessory",89.29
137,2879,6,2,Completed,Debit Card,7120.71,791.19,9,2024-09-21,Express,,0.0
138,1197,7,3,Cancelled,Cash,4175.64,463.96,9,2024-09-21,Express,,0.0
139,4791,5,3,Completed,Credit Card,6758.64,844.83,8,2024-09-21,Overnight,Extended Warranty,47.69
140,16509,2,1,Completed,Credit Card,5394.56,674.32,8,2024-09-21,Expedited,Accessory,82.49
141,3393,6,2,Cancelled,Debit Card,6329.52,791.19,8,2024-09-21,Overnight,"Extended Warranty,Extended Warranty",80.51
142,12151,1,1,Cancelled,Credit Card,1805.9,361.18,5,2024-09-21,Standard,,0.0
143,12473,8,3,Cancelled,Credit Card,3419.04,1139.68,3,2024-09-21,Same Day,"Impulse Item, Extended Warranty, Impulse Item",179.8
144,15088,2,4,Completed,Bank Transfer,5394.56,674.32,8,2024-09-21,Expedited,,0.0
145,13870,10,3,Completed,Credit Card,7077.69,786.41,9,2024-09-21,Same Day,"Accessory, Extended Warranty, Accessory",142.74
146,18398,1,4,Completed,PayPal,2889.44,361.18,8,2024-09-21,Same Day,"Extended Warranty, Extended Warranty",127.39
147,14690,10,2,Completed,Credit Card,3932.05,786.41,5,2024-09-21,Same Day,,0.0
148,6242,5,3,Completed,Credit Card,5068.98,844.83,6,2024-09-21,Express,"Accessory,Impulse Item,Extended Warranty",66.5
149,14213,10,1,Completed,Credit Card,7864.1,786.41,10,2024-09-21,Standard,Impulse Item,39.87
150,12458,9,1,Completed,Bank Transfer,3216.5,459.5,7,2024-09-21,Expedited,"Accessory, Extended Warranty",92.28
151,9215,3,5,Cancelled,Debit Card,83.0,20.75,4,2024-09-21,Overnight,"Extended Warranty,Extended Warranty,Accessory",59.76
152,3122,6,2,Cancelled,Debit Card,2373.57,791.19,3,2024-09-21,Overnight,,0.0
153,18266,2,1,Completed,PayPal,3371.6,674.32,5,2024-09-21,Expedited,,0.0
154,17091,1,1,Completed,Bank Transfer,1444.72,361.18,4,2024-09-21,Standard,,0.0
155,2547,6,2,Completed,Debit Card,7911.9,791.19,10,2024-09-21,Overnight,"Accessory,Impulse Item",64.64
156,2898,5,3,Cancelled,Debit Card,5068.98,844.83,6,2024-09-21,Express,"Accessory,Impulse Item",83.9
157,19901,10,3,Completed,Credit Card,3145.64,786.41,4,2024-09-21,Standard,,0.0
158,19672,9,4,Completed,PayPal,1378.5,459.5,3,2024-09-21,Standard,"Extended Warranty, Extended Warranty, Extended Warranty",146.71
159,13609,2,3,Cancelled,PayPal,2022.96,674.32,3,2024-09-21,Standard,,0.0
160,13463,2,5,Cancelled,Credit Card,3371.6,674.32,5,2024-09-21,Standard,Accessory,35.84
161,16216,9,1,Cancelled,Credit Card,2297.5,459.5,5,2024-09-21,Standard,Accessory,79.89
162,11476,8,3,Completed,Credit Card,11396.8,1139.68,10,2024-09-21,Expedited,Extended Warranty,60.51
163,6186,5,3,Completed,Cash,8448.3,844.83,10,2024-09-21,Overnight,"Impulse Item,Extended Warranty",57.65
164,2147,7,3,Completed,Credit Card,3247.72,463.96,7,2024-09-21,Overnight,,0.0
165,18788,8,5,Completed,Bank Transfer,1139.68,1139.68,1,2024-09-21,Same Day,"Impulse Item, Extended Warranty",145.15
166,2556,3,5,Completed,Paypal,83.0,20.75,4,2024-09-21,Express,Accessory,21.26
167,5816,5,3,Cancelled,Debit Card,7603.47,844.83,9,2024-09-21,Overnight,"Impulse Item,Accessory",50.06
168,11560,9,1,Completed,Credit Card,1838.0,459.5,4,2024-09-21,Same Day,,0.0
169,8993,4,3,Completed,Credit Card,2470.3,247.03,10,2024-09-21,Standard,"Impulse Item,Accessory,Accessory",60.61
170,17682,1,5,Cancelled,Bank Transfer,3250.62,361.18,9,2024-09-21,Standard,,0.0
171,15059,1,1,Completed,Credit Card,1083.54,361.18,3,2024-09-21,Expedited,Extended Warranty,42.49
172,14717,1,1,Cancelled,Credit Card,1805.9,361.18,5,2024-09-21,Standard,"Accessory, Impulse Item, Impulse Item",195.5
173,7718,3,5,Completed,Debit Card,145.25,20.75,7,2024-09-21,Standard,"Extended Warranty,Impulse Item",34.48
174,16970,10,2,Completed,PayPal,2359.23,786.41,3,2024-09-21,Same Day,"Extended Warranty, Impulse Item, Extended Warranty",142.42
175,1265,3,5,Cancelled,Debit Card,20.75,20.75,1,2024-09-21,Standard,"Accessory,Extended Warranty",67.15
176,19214,8,1,Completed,PayPal,10257.12,1139.68,9,2024-09-21,Same Day,Extended Warranty,85.29
177,15779,10,3,Completed,Credit Card,3145.64,786.41,4,2024-09-21,Same Day,Impulse Item,63.02
178,8526,4,3,Completed,Cash,1729.21,247.03,7,2024-09-21,Overnight,"Impulse Item,Extended Warranty,Impulse Item",110.21
179,6403,3,5,Cancelled,Debit Card,124.5,20.75,6,2024-09-21,Express,"Extended Warranty,Impulse Item",37.47
180,9497,4,3,Completed,Cash,2223.27,247.03,9,2024-09-21,Standard,,0.0
181,1139,6,2,Cancelled,Debit Card,6329.52,791.19,8,2024-09-21,Overnight,"Extended Warranty,Extended Warranty,Accessory",46.71
182,5034,7,3,Cancelled,Debit Card,4639.6,463.96,10,2024-09-21,Standard,,0.0
183,15231,2,2,Completed,PayPal,5394.56,674.32,8,2024-09-21,Standard,"Impulse Item, Extended Warranty, Extended Warranty",177.3
184,19223,9,2,Cancelled,Credit Card,459.5,459.5,1,2024-09-21,Same Day,Accessory,80.63
185,8194,7,3,Cancelled,Credit Card,927.92,463.96,2,2024-09-21,Express,Extended Warranty,5.38
186,5981,4,3,Completed,Cash,494.06,247.03,2,2024-09-21,Overnight,,0.0
187,2720,3,5,Completed,Credit Card,20.75,20.75,1,2024-09-20,Express,"Extended Warranty,Impulse Item",44.16
188,19820,9,3,Completed,Credit Card,4135.5,459.5,9,2024-09-20,Same Day,,0.0
189,13190,10,5,Completed,Credit Card,7864.1,786.41,10,2024-09-20,Expedited,"Accessory, Extended Warranty",114.98
190,6297,5,3,Completed,Cash,5913.81,844.83,7,2024-09-20,Overnight,"Extended Warranty,Impulse Item,Accessory",46.36
191,9318,6,2,Cancelled,Paypal,4747.14,791.19,6,2024-09-20,Standard,Extended Warranty,18.35
192,2881,7,3,Completed,Paypal,3247.72,463.96,7,2024-09-20,Overnight,"Accessory,Impulse Item",37.44
193,1422,5,3,Completed,Credit Card,7603.47,844.83,9,2024-09-20,Overnight,"Accessory,Impulse Item,Extended Warranty",58.85
194,6489,3,5,Completed,Debit Card,207.5,20.75,10,2024-09-20,Overnight,,0.0
195,12477,10,3,Completed,Bank Transfer,7864.1,786.41,10,2024-09-20,Same Day,,0.0
196,1216,6,2,Completed,Cash,2373.57,791.19,3,2024-09-20,Express,"Extended Warranty,Extended Warranty,Impulse Item",60.11
197,1799,5,3,Completed,Credit Card,4224.15,844.83,5,2024-09-20,Standard,,0.0
198,16139,8,5,Cancelled,Bank Transfer,1139.68,1139.68,1,2024-09-20,Expedited,"Impulse Item, Impulse Item, Accessory",196.72
199,1327,4,3,Cancelled,Paypal,494.06,247.03,2,2024-09-20,Standard,"Extended Warranty,Impulse Item,Impulse Item",112.83
200,14267,8,1,Cancelled,PayPal,3419.04,1139.68,3,2024-09-20,Same Day,"Extended Warranty, Extended Warranty, Accessory",116.04
201,6168,4,3,Completed,Debit Card,741.09,247.03,3,2024-09-20,Overnight,"Impulse Item,Accessory",49.91
202,12408,1,3,Completed,PayPal,1805.9,361.18,5,2024-09-20,Expedited,Extended Warranty,70.32
203,2300,7,3,Completed,Debit Card,3247.72,463.96,7,2024-09-20,Standard,Impulse Item,44.79
204,11062,8,2,Completed,PayPal,6838.08,1139.68,6,2024-09-20,Standard,"Accessory, Impulse Item, Impulse Item",206.72
205,18679,1,1,Completed,PayPal,2889.44,361.18,8,2024-09-20,Standard,"Extended Warranty, Impulse Item",94.15
206,13776,2,4,Completed,PayPal,5394.56,674.32,8,2024-09-20,Expedited,Accessory,40.83
207,11829,9,2,Completed,Credit Card,919.0,459.5,2,2024-09-20,Standard,,0.0
208,5371,7,3,Completed,Cash,1391.88,463.96,3,2024-09-20,Standard,,0.0
209,17367,10,2,Completed,Credit Card,5504.87,786.41,7,2024-09-20,Standard,"Impulse Item, Accessory",102.33
210,5281,6,2,Completed,Credit Card,6329.52,791.19,8,2024-09-20,Express,Accessory,48.33
211,3792,6,2,Cancelled,Paypal,2373.57,791.19,3,2024-09-20,Standard,"Extended Warranty,Accessory,Extended Warranty",104.26
212,6280,7,3,Completed,Credit Card,3711.68,463.96,8,2024-09-20,Overnight,Extended Warranty,16.68
213,11303,9,2,Completed,PayPal,3216.5,459.5,7,2024-09-20,Same Day,Extended Warranty,52.5
214,11987,8,4,Completed,PayPal,11396.8,1139.68,10,2024-09-20,Expedited,"Accessory, Impulse Item, Impulse Item",181.17
215,15350,2,4,Completed,Bank Transfer,6068.88,674.32,9,2024-09-20,Standard,Impulse Item,78.45
216,9299,5,3,Cancelled,Credit Card,3379.32,844.83,4,2024-09-20,Standard,"Extended Warranty,Impulse Item",57.57
217,14194,9,3,Completed,Bank Transfer,3676.0,459.5,8,2024-09-20,Same Day,"Impulse Item, Accessory, Extended Warranty",198.44
218,5789,6,2,Completed,Paypal,3955.95,791.19,5,2024-09-20,Standard,"Impulse Item,Impulse Item,Accessory",91.52
219,16105,1,1,Cancelled,PayPal,2889.44,361.18,8,2024-09-20,Expedited,Accessory,37.0
220,14558,2,4,Completed,Credit Card,4045.92,674.32,6,2024-09-20,Same Day,Extended Warranty,58.33
221,8406,3,5,Completed,Paypal,62.25,20.75,3,2024-09-20,Standard,"Extended Warranty,Extended Warranty",66.54
222,13632,8,4,Cancelled,Bank Transfer,7977.76,1139.68,7,2024-09-20,Expedited,Extended Warranty,10.77
223,16020,10,3,Completed,Credit Card,7077.69,786.41,9,2024-09-20,Same Day,"Accessory, Extended Warranty, Accessory",58.77
224,7632,7,3,Cancelled,Debit Card,463.96,463.96,1,2024-09-20,Express,"Extended Warranty,Extended Warranty",80.74
225,18797,9,4,Completed,Credit Card,4135.5,459.5,9,2024-09-20,Standard,"Impulse Item, Extended Warranty",68.18
226,8492,4,3,Cancelled,Paypal,2223.27,247.03,9,2024-09-20,Standard,"Extended Warranty,Impulse Item,Accessory",51.21
227,18783,1,4,Completed,Bank Transfer,2528.26,361.18,7,2024-09-20,Standard,"Accessory, Impulse Item",124.79
228,19213,1,4,Cancelled,Bank Transfer,2167.08,361.18,6,2024-09-20,Expedited,,0.0
229,14563,9,1,Completed,Credit Card,3216.5,459.5,7,2024-09-20,Same Day,,0.0
230,1484,7,3,Completed,Credit Card,3711.68,463.96,8,2024-09-20,Overnight,,0.0
231,5566,5,3,Completed,Debit Card,5068.98,844.83,6,2024-09-20,Express,"Accessory,Accessory,Extended Warranty",41.96
232,3575,5,3,Completed,Cash,5913.81,844.83,7,2024-09-20,Express,,0.0
233,13964,2,3,Cancelled,Bank Transfer,1348.64,674.32,2,2024-09-20,Expedited,,0.0
234,15489,2,5,Completed,Credit Card,2022.96,674.32,3,2024-09-20,Expedited,,0.0
235,17778,9,4,Completed,PayPal,2297.5,459.5,5,2024-09-20,Standard,Extended Warranty,92.81
236,2562,3,5,Completed,Credit Card,103.75,20.75,5,2024-09-20,Express,,0.0
237,4408,4,3,Completed,Credit Card,1729.21,247.03,7,2024-09-20,Express,Impulse Item,29.05
238,3502,4,3,Completed,Debit Card,2470.3,247.03,10,2024-09-20,Express,"Impulse Item,Accessory,Extended Warranty",85.17
239,1105,4,3,Completed,Debit Card,1482.18,247.03,6,2024-09-20,Overnight,"Impulse Item,Accessory,Extended Warranty",102.0
240,5844,4,3,Completed,Paypal,247.03,247.03,1,2024-09-20,Express,"Accessory,Accessory,Extended Warranty",82.86
241,9592,4,3,Cancelled,Paypal,1976.24,247.03,8,2024-09-20,Standard,"Impulse Item,Extended Warranty",59.02
242,9528,6,2,Completed,Credit Card,791.19,791.19,1,2024-09-19,Standard,"Extended Warranty,Impulse Item",70.7
243,19610,9,3,Completed,Bank Transfer,459.5,459.5,1,2024-09-19,Same Day,"Impulse Item, Extended Warranty",90.94
244,5603,7,3,Completed,Credit Card,927.92,463.96,2,2024-09-19,Express,Accessory,15.71
245,14856,10,2,Completed,PayPal,7077.69,786.41,9,2024-09-19,Same Day,Accessory,49.04
